kyodaku_id,kyodaku_edaban,shohin_mei,hatsubai_bi,zeinuki_jodai,ryoritsu,siyoryo,saiteihosho_su_shinseisu,saiteihosho_su_kyodakuryo,shoshi,mihon_suryo,hanbai_chiiki,sakujo_flg,touroku_sha,touroku_bi,koushin_sha,koushin_bi
LI00000033,4,CINDERELLA PARTY!～デレパ参周年記念祝賀会～  のし付きタオル,2017/11/05|00:00:00,417,5,21,500,10425,73,,,0,猪腰 浩司,2019/05/23|17:08:44,猪腰 浩司,2019/05/23|17:08:44
LI00000033,5,CINDERELLA PARTY!～デレパ参周年記念祝賀会～  乾杯グラス,2017/11/05|00:00:00,1389,5,69,150,10418,73,,,0,猪腰 浩司,2019/05/15|16:42:43,猪腰 浩司,2019/05/15|16:42:43
LI00000036,1,CINDERELLA PARTY!参周年記念祝賀会　入場料,2017/11/05|00:00:00,4167,10,417,580,241686,,,,0,猪腰 浩司,2019/05/15|16:44:34,猪腰 浩司,2019/05/15|16:44:34
LI00000037,1,ぴたぬい ユーリ・ローウェル,2019/05/15|00:00:00,2300,5,115,1510,173650,73,,,0,猪腰 浩司,2019/03/19|09:27:04,猪腰 浩司,2019/03/19|09:27:04
LI00000037,2,ぴたぬい ルーク・フォン・ファブレ 長髪ver.,2019/05/15|00:00:00,2300,5,115,905,104075,73,,,0,猪腰 浩司,2019/03/19|09:27:04,猪腰 浩司,2019/03/19|09:27:04
LI00000037,3,ぴたぬい ジェイド・カーティス,2019/05/15|00:00:00,2300,5,115,855,98325,73,,,0,猪腰 浩司,2019/03/19|09:27:04,猪腰 浩司,2019/03/19|09:27:04
LI00000037,4,ぴたぬい レイヴン,2019/05/15|00:00:00,2300,5,115,705,81075,73,,,0,猪腰 浩司,2019/03/19|09:27:04,猪腰 浩司,2019/03/19|09:27:04
LI00000037,5,ぴたぬい アスベル・ラント,2019/05/15|00:00:00,2300,5,115,505,58075,73,,,0,猪腰 浩司,2019/03/19|09:27:04,猪腰 浩司,2019/03/19|09:27:04
LI00000040,1,「テイルズ オブ ザ レイズ 2周年記念イベント」 始祖久遠の塔,2019/03/01|00:00:00,370,5,18,4045,74833,73,,,0,杉村 美冴,2019/05/21|13:38:24,杉村 美冴,2019/05/21|13:38:24
LI00000040,2,「テイルズ オブ ザ レイズ 2周年記念イベント」超結晶！ザックザク！キラル超結晶カーニバル！,2019/03/01|00:00:00,370,5,18,3370,62345,73,,,0,杉村 美冴,2019/05/21|13:38:32,杉村 美冴,2019/05/21|13:38:32
LI00000040,3,「テイルズ オブ ザ レイズ 2周年記念イベント」ガラポン,2019/03/01|00:00:00,463,5,23,6030,139595,73,,,0,杉村 美冴,2019/05/21|13:38:15,杉村 美冴,2019/05/21|13:38:15
LI00000042,1,日清カレーメシアイドルマスター シンデレラガールズCM映像業務委託,,,5,,,3995000,,,,0,猪腰 浩司,2019/03/20|18:04:11,猪腰 浩司,2019/03/20|18:04:11
LI00000043,1,原契約から記載が漏れてしまった素材費　【原契約】BNE-NS00000500,,,5,,,450000,,,,0,猪腰 浩司,2019/03/20|18:10:57,猪腰 浩司,2019/03/20|18:10:57
LI00000044,1,webラジオ番組「アイドルマスターSideM 315プロNight」配信許諾（有償・無償）,,,,,,,,,,0,猪腰 浩司,2019/06/14|18:22:59,猪腰 浩司,2019/06/14|18:22:59
LI00000046,1,あしすたんど　今井加奈,2019/03/22|00:00:00,1200,5,60,70,4200,73,,,0,猪腰 浩司,2019/05/16|14:22:52,猪腰 浩司,2019/05/16|14:22:52
LI00000046,2,あしすたんど　北条加蓮,2019/03/22|00:00:00,1200,5,60,100,6000,73,,,0,猪腰 浩司,2019/05/16|14:22:52,猪腰 浩司,2019/05/16|14:22:52
LI00000046,3,あしすたんど　喜多日菜子,2019/03/22|00:00:00,1200,5,60,70,4200,73,,,0,猪腰 浩司,2019/05/16|14:22:52,猪腰 浩司,2019/05/16|14:22:52
LI00000047,1,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 速水 奏,2019/02/28|00:00:00,600,5,30,179,5370,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000047,2,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 姫川友紀,2019/02/28|00:00:00,600,5,30,98,2940,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000047,3,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 双葉 杏,2019/02/28|00:00:00,600,5,30,278,8340,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000047,4,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 北条加蓮,2019/02/28|00:00:00,600,5,30,178,5340,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000047,5,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 星 輝子,2019/02/28|00:00:00,600,5,30,149,4470,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000047,6,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 前川みく,2019/02/28|00:00:00,600,5,30,119,3570,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000047,7,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 三村かな子,2019/02/28|00:00:00,600,5,30,102,3060,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000048,1,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 宮本フレデリカ,2019/02/28|00:00:00,600,5,30,175,5250,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000048,2,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 森久保乃々,2019/02/28|00:00:00,600,5,30,265,7950,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000048,3,ミニッチュ アイドルマスター シンデレラガールズ ボールペン 諸星きらり,2019/02/28|00:00:00,600,5,30,118,3540,73,,,0,猪腰 浩司,2019/06/18|17:04:58,猪腰 浩司,2019/06/18|17:04:58
LI00000049,1,てくトコアクリルキーホルダー,2019/03/15|00:00:00,680,5,34,1000,34000,73,,,0,杉村 美冴,2019/05/16|18:05:12,杉村 美冴,2019/05/16|18:05:12
LI00000049,2,てくトコ缶バッチ,2019/03/15|00:00:00,500,5,25,1000,25000,73,,,0,杉村 美冴,2019/05/16|18:05:26,杉村 美冴,2019/05/16|18:05:26
LI00000049,3,てくトコアクリルフィギュア,2019/03/15|00:00:00,1200,5,60,800,48000,73,,,0,杉村 美冴,2019/05/16|18:05:19,杉村 美冴,2019/05/16|18:05:19
LI00000049,4,てくトコ3Pメモ帳,2019/03/15|00:00:00,580,5,29,800,23200,73,,,0,杉村 美冴,2019/05/16|18:05:33,杉村 美冴,2019/05/16|18:05:33
LI00000050,1,トレーディングバッジコレクション GOD EATER ９th Anniversary ver.,2019/02/02|00:00:00,300,5,15,1300,19500,73,,,0,猪腰 浩司,2019/07/16|14:35:51,猪腰 浩司,2019/07/16|14:35:51
LI00000050,2,GOD EATER 9th Anniversary クリアファイルセット A,2019/02/02|00:00:00,1100,5,55,150,8250,73,,,0,杉村 美冴,2020/01/27|11:48:52,杉村 美冴,2020/01/27|11:48:52
LI00000050,3,GOD EATER 9th Anniversary クリアファイルセット B,2019/02/02|00:00:00,1100,5,55,150,8250,73,,,0,杉村 美冴,2020/01/27|11:48:52,杉村 美冴,2020/01/27|11:48:52
LI00000052,1,[テイルズ オブ シリーズ]Xmasプリケーキ2018(アイゼン),2018/11/30|00:00:00,4000,5,200,39,7800,73,,,0,猪腰 浩司,2019/05/15|17:59:09,猪腰 浩司,2019/05/15|17:59:09
LI00000052,2,[テイルズ オブ シリーズ]Xmasプリケーキ2018(アスベル・ラント),2018/11/30|00:00:00,4000,5,200,28,5600,73,,,0,猪腰 浩司,2019/05/15|17:59:09,猪腰 浩司,2019/05/15|17:59:09
LI00000052,3,[テイルズ オブ シリーズ]Xmasプリケーキ2018(エミル・キャスタニエ),2018/11/30|00:00:00,4000,5,200,30,6000,73,,,0,猪腰 浩司,2019/05/15|17:59:09,猪腰 浩司,2019/05/15|17:59:09
LI00000052,4,[テイルズ オブ シリーズ]Xmasプリケーキ2018(ジェイド・カーティス),2018/11/30|00:00:00,4000,5,200,50,10000,73,,,0,猪腰 浩司,2019/05/15|17:59:09,猪腰 浩司,2019/05/15|17:59:09
LI00000079,2,ぱぺっとチャーム　黒野玄武,2019/03/15|00:00:00,1389,4,56,700,38892,73,,,0,杉村 美冴,2019/05/21|13:33:06,杉村 美冴,2019/05/21|13:33:06
LI00000052,5,[テイルズ オブ シリーズ]Xmasプリケーキ2018(ジューダス),2018/11/30|00:00:00,4000,5,200,32,6400,73,,,0,猪腰 浩司,2019/05/15|17:59:09,猪腰 浩司,2019/05/15|17:59:09
