kikaku_id,kikaku_edaban,shohin_category,shohin_name,zeinuki_jodai,mokuhyo_hambai_su,shokai_seisanyotei_su,sku,chiiki,hanbaiyoteikosu_nihon,hanbaiyoteikosu_chugoku,hanbaiyoteikosu_asia,hanbaiyoteikosu_chunanbei,hanbaiyoteikosu_europe,hanbaikoku_shosai,hanbai_jiki,kokuchi_kaishi_jiki,jyouhou_syosyutu_jiki,uriba_tempo,uriba_event,uriba_ecsite,urikata_ippanryutsu,urikata_juchuhambai,urikata_senkohambai,urikata_tempo_kaijogenteihambai,hanro,shoshi_insatsu,shoshi_hari,trading,kakiorosi_kibou_umu,asobistore,sendenhansoku_keikaku,sozai_mitsumori,ryouritu,sample,riyu_joken,taisho_nenreisou,taisho_seibetsu,shohin_setsumei,sozai,size,kansei_image,comment,ok_ng,sakujo_flg,touroku_sha,touroku_bi,koushin_sha,koushin_bi
PP00000016,3,,レコードバッグ,4500,150,150,,,,,,,,国内　※海外輸出は検討中,2019/7/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|16:22:27,猪腰 浩司,2019/05/31|16:22:27
PP00000017,1,,トレーディングアイコンバッジ テイルズ オブ フェスティバル メモリーズコレクション vol.1～4,300,20000,20000,,,,,,,,日本,2019/6/1,2019年5月頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|17:43:13,猪腰 浩司,2019/05/31|17:43:13
PP00000018,1,,トレーディングアクリルスタンド テイルズ オブ フレンズ,700,5000,5000,,,,,,,,日本,2019/6/1,2019年5月頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|17:44:31,猪腰 浩司,2019/05/31|17:44:31
PP00000019,1,,「ソラトロ本」コンプリートコレクション（仮名）,3241,800,900,,,,,,,,全世界,2019/8/9,2019年7月上旬,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|16:05:14,猪腰 浩司,2019/05/31|16:05:14
PP00000020,1,,ミニッチュ アイドルマスター シンデレラガールズ　マグカップ,1500,2000,500,,,,,,,,日本国内、アジア圏,2019/4/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000020,2,,ミニッチュ アイドルマスター シンデレラガールズ　缶キーホルダー,400,2000,500,,,,,,,,日本国内、アジア圏,2019/4/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000020,3,,ミニッチュ アイドルマスター シンデレラガールズ　ビッグ缶バッジ,600,2000,500,,,,,,,,日本国内、アジア圏,2019/4/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000020,4,,ミニッチュ アイドルマスター シンデレラガールズ 　ボールペン,600,2000,500,,,,,,,,日本国内、アジア圏,2019/4/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000039,1,,アイドルマスター ミリオンライブ！　ポンチョタオル　ANGEL STARS,4167,1150,1150,,,,,,,,仙台,2019/4/1,年,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/27|10:46:24,猪腰 浩司,2019/05/27|10:46:24
PP00000020,5,,ミニッチュ アイドルマスター シンデレラガールズ 　アクリルキーホルダー,600,5000,1000,,,,,,,,日本国内、アジア圏,2019/4/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000020,6,,ミニッチュ アイドルマスター シンデレラガールズ　Ｔシャツ　　羽衣小町、喜多見柚、早坂美鈴、大槻唯,3000,1000,500,,,,,,,,日本国内、アジア圏,2019/8/1,2019年7月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000020,7,,ミニッチュ アイドルマスター シンデレラガールズ　スポーツタオル　　　　　　羽衣小町、喜多見柚、早坂美鈴、大槻唯,2000,1000,500,,,,,,,,日本国内、アジア圏,2019/8/1,2019年7月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000020,8,,ミニッチュ アイドルマスター シンデレラガールズ　デカアクリルキーホルダー　藤原肇、喜多見柚ver.２、村上巴、橘ありすver.2、結城晴、棟方愛海,1112,2000,800,,,,,,,,日本国内、アジア圏,2019/8/1,2019年7月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/21|10:03:27,猪腰 浩司,2019/06/21|10:03:27
PP00000021,1,,ちゅんコレ,1200,1000,500,,,,,,,,日本,2017/12/1,2017年11月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:32:21,猪腰 浩司,2019/06/27|17:32:21
PP00000021,2,,にゃーコレ 衣装,2300,500,300,,,,,,,,日本,2018/1/1,2017年12月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:32:21,猪腰 浩司,2019/06/27|17:32:21
PP00000022,1,,アイドルマスターSideM　スナップショットスタンド,1000,100,100,,,,,,,,日本,2018/12/1,2018年10月頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:32:21,猪腰 浩司,2019/06/27|17:32:21
PP00000023,1,,『テイルズ オブ』シリーズ 缶バッジ～Summer memories～vol.2,235,17680,17680,,,,,,,,日本,2019/8/1,2019年6月頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,杉村 美冴,2019/07/24|12:58:18,杉村 美冴,2019/07/24|12:58:18
PP00000023,2,,『テイルズ オブ』シリーズ 缶バッジ～Summer memories～vol.1,235,17680,17680,,,,,,,,日本,2019/7/1,2019年6月頃,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,杉村 美冴,2019/07/24|12:58:55,杉村 美冴,2019/07/24|12:58:55
PP00000024,1,,マフラータオル,1833,200,100,,,,,,,,日本国内,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000024,2,,コントローラー型パスケース,1574,200,100,,,,,,,,日本国内,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000024,3,,アクリルスタンド,1111,500,200,,,,,,,,日本国内,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000024,4,,缶バッジ,370,500,200,,,,,,,,日本国内,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000025,1,,リクエストチケットケース,463,500,200,,,,,,,,日本国内,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000025,2,,ネックストラップ,1111,500,200,,,,,,,,日本国内,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000026,1,,283プロダクション ネックストラップ,1400,100,100,,,,,,,,日本国内,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000027,1,,Musikleidung Tシャツ,3241,300,100,,,,,,,,日本、中国、北米、香港、台湾、シンガポール,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:07:14,猪腰 浩司,2019/06/27|17:07:14
PP00000027,2,,Musikleidung シェルパーカー,12038,200,100,,,,,,,,日本、中国、北米、香港、台湾、シンガポール,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:07:14,猪腰 浩司,2019/06/27|17:07:14
PP00000027,3,,Musikleidung マフラータオル,1852,300,200,,,,,,,,日本、中国、北米、香港、台湾、シンガポール,2019/3/1,2019年2月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:07:14,猪腰 浩司,2019/06/27|17:07:14
PP00000028,1,,"THE IDOLM@STER SideM WakeMini! SOLO COLLECTION
 01 PHYSICAL Ver.",2500,10000,6000,,,,,,,,日本国内,2019/3/1,2019年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,杉村 美冴,2019/07/24|17:12:49,杉村 美冴,2019/07/24|17:12:49
PP00000028,2,,"THE IDOLM@STER SideM WakeMini! SOLO COLLECTION
02 MENTAL Ver.",2500,10000,6000,,,,,,,,日本国内,2019/3/1,2019年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,杉村 美冴,2019/07/24|17:12:57,杉村 美冴,2019/07/24|17:12:57
PP00000028,3,,"THE IDOLM@STER SideM WakeMini! SOLO COLLECTION
03 INTELLIGENCE Ver.",2500,10000,6000,,,,,,,,日本国内,2019/3/1,2019年1月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,杉村 美冴,2019/07/24|17:13:05,杉村 美冴,2019/07/24|17:13:05
PP00000030,1,,MILLION THE@TER GENERATION 12&13 発売記念イベント Tシャツ,2778,350,375,,,,,,,,日本,2019/3/1,2019年2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000030,2,,MILLION THE@TER GENERATION 12&13 発売記念イベント マフラータオル,1389,450,475,,,,,,,,日本,2019/3/1,2019年2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000030,3,,MILLION THE@TER GENERATION 12&13 発売記念イベント アクリルキーホルダー,1389,300,320,,,,,,,,日本,2019/3/1,2019年2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000030,4,,MILLION THE@TER GENERATION 12&13 発売記念イベント リストバンドセット,1852,450,500,,,,,,,,日本,2019/3/1,2019年2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:20:04,猪腰 浩司,2019/06/27|17:20:04
PP00000031,1,,アイドルマスター ミリオンライブ！ バースデーアクリルスタンド,1270,2600,2600,,,,,,,,日本,2019/6/1,2020年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|17:36:59,猪腰 浩司,2019/05/31|17:36:59
PP00000032,1,,アイドルマスター ミリオンライブ！ バースデーアクリルスタンド,1270,7800,7800,,,,,,,,日本,2019/6/1,2020年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/31|17:16:47,猪腰 浩司,2019/05/31|17:16:47
PP00000033,1,,アイドルマスター シンデレラガールズ ロゴ アクリルキーホルダー,1000,4000,1500,,,,,,,,日本国内、アジア圏,2019/4/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:07:14,猪腰 浩司,2019/06/27|17:07:14
PP00000033,2,,アイドルマスター シンデレラガールズ ロゴ ビッグ缶バッジ,600,4000,1500,,,,,,,,日本国内、アジア圏,2019/4/1,2019年3月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/06/27|17:07:14,猪腰 浩司,2019/06/27|17:07:14
PP00000034,1,,BUSHI×SOUL CALIBUR コラボレーションマスク,55000,30,,,,,,,,,日本のみ,2019/4/20,2019年2月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/17|18:21:25,猪腰 浩司,2019/05/17|18:21:25
PP00000035,1,,アイドルマスター シンデレラガールズ劇場アクリルキーホルダー19弾,1000,5000,1000,,,,,,,,日本、香港、韓国、台湾、中国、インドネシア、シンガポール、アメリカ、カナダ,2019/6/1,2019年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,杉村 美冴,2019/07/16|17:19:35,杉村 美冴,2019/07/16|17:19:35
PP00000036,1,,ぬいぐるみ　木村夏樹、多田李衣菜、島村卯月、本田未央、森久保乃、早坂美鈴,4000,5000,3000,,,,,,,,日本、中国、台湾、韓国、シンガポール、マレーシア、アメリカ、カナダ,2019/9/1,2019年秋以降,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,杉村 美冴,2019/10/11|13:07:52,杉村 美冴,2019/10/11|13:07:52
PP00000037,1,,Composers Summit Concert 2018,,2502,0,,,,,,,,日本,2018/12/1,2018年7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/03/12|15:59:13,猪腰 浩司,2019/03/12|15:59:13
PP00000038,1,,アイドルマスター ミリオンライブ！　スタジアムクッション,3704,3800,3800,,,,,,,,仙台・神戸・福岡,2019/4/1,年,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,猪腰 浩司,2019/05/27|10:46:56,猪腰 浩司,2019/05/27|10:46:56
